trade_date,predicted_pct_change,predicted_label,predicted_close,confidence,real_pct_change,correct,calibrated_confidence,confidence_calibration_window,confidence_calibration_method,confidence_calibration_rows,confidence_calibration_fallback,uncalibrated_predicted_return,return_calibration_scale,return_calibration_rows
20201215,-0,0,3367.2325999999998,0.6333333333333333,-7.4066757372093228e-05,True,0.6333333333333333,300,platt,0,1,-0.0030081594396608293,0,0
20201216,-0,0,3366.9832000000001,0.6166666666666667,0.011253397403349075,False,0.6166666666666667,300,platt,1,1,-0.002335088051007809,0,1
20201217,-0,0,3404.8732,0.6166666666666667,-0.0029302706485515584,True,0.6166666666666667,300,platt,2,1,-0.0061825834036430289,0,2
20201218,-0,0,3394.8960000000002,0.58333333333333337,0.0075623229695400696,False,0.58333333333333337,300,platt,3,1,-0.0036032009461750359,0,3
20201221,0,1,3420.5693000000001,0.64166666666666672,-0.018648094631498968,False,0.64166666666666672,300,platt,4,1,0.0050152172183723625,0,4
20201222,-0,0,3356.7822000000001,0.6166666666666667,0.0076076726097986658,False,0.6166666666666667,300,platt,5,1,-0.0074413496414549992,0,5
20201223,0,1,3382.3195000000001,0.60833333333333328,-0.0056784109248106951,False,0.60833333333333328,300,platt,6,1,0.0040694440275638863,0,6
20201224,-0,0,3363.1133,0.625,0.0099459331328504152,False,0.625,300,platt,7,1,-0.0049200989254651849,0,7
20201225,-0,0,3396.5626000000002,0.56666666666666665,0.00021280337951079531,False,0.56666666666666665,300,platt,8,1,-0.005935950548336167,0,8
20201228,-0,0,3397.2854000000002,0.6166666666666667,-0.0053717005936564366,True,0.6166666666666667,300,platt,9,1,-0.0035009530472169641,0,9
20201229,0,1,3379.0362,0.69999999999999996,0.010481243142645091,True,0.69999999999999996,300,platt,10,1,0.0037842168324014529,0,10
20201230,0,1,3414.4526999999998,0.72727272727272729,0.017167202228339562,True,0.72727272727272729,300,platt,11,1,0.004844330078323412,0,11
20201231,0,1,3473.0693000000001,0.75,0.0086059613034499272,True,0.75,300,platt,12,1,0.0065842291752861446,0,12
20210104,-0,0,3502.9584,0.57499999999999996,0.0073418799378262012,False,0.57499999999999996,300,platt,13,1,-0.0064589737516738107,0,13
20210105,0,1,3528.6767,0.76923076923076916,0.006291310280706508,True,0.76923076923076916,300,platt,14,1,0.0052913496086797315,0,14
20210106,-0,0,3550.8766999999998,0.59999999999999998,0.0071328582037220034,False,0.59999999999999998,300,platt,15,1,-0.0052189261901596055,0,15
20210107,-0,0,3576.2046,0.7857142857142857,-0.0017047123086860738,True,0.7857142857142857,300,platt,16,1,-0.0058921475344956642,0,16
20210108,0,1,3570.1082000000001,0.80000000000000004,-0.010814910315603332,False,0.80000000000000004,300,platt,17,1,0.0051178364521118416,0,17
20210111,0,1,3531.4978000000001,0.59999999999999998,0.021758784615411697,True,0.59999999999999998,300,platt,18,1,0.0096907099100431836,0,18
20210112,-0,0,3608.3389000000002,0.59999999999999998,-0.0026846425096046511,True,0.59999999999999998,300,platt,19,1,-0.010938497670782296,0,19
20210113,-0,0,3598.6518000000001,0.59999999999999998,-0.0090998523391455644,True,0.59999999999999998,300,platt,20,1,-0.0054726629624846012,0,20
20210114,0,1,3565.9045999999998,0.59999999999999998,0.00013270125061692895,True,0.59999999999999998,300,platt,21,1,0.0047535303186594631,0,21
20210115,0,1,3566.3778000000002,0.59999999999999998,0.0083686871312398381,True,0.59999999999999998,300,platt,22,1,0.0067008092528481429,0,22
20210118,-0,0,3596.2237,0.59999999999999998,-0.0082982323930516078,True,0.59999999999999998,300,platt,23,1,-0.0077053961574781674,0,23
20210119,-0,0,3566.3814000000002,0.59999999999999998,0.0046855897128668111,False,0.59999999999999998,300,platt,24,1,-0.0060940860669484913,0,24
20210120,0,1,3583.0920000000001,0.59999999999999998,0.010653396563638173,True,0.59999999999999998,300,platt,25,1,0.0040124390927860102,0,25
20210121,-0,0,3621.2640999999999,0.66666666666666674,-0.0040081307519105325,True,0.66666666666666674,300,platt,26,1,-0.0060398743965846911,0,26
20210122,0,1,3606.7496000000001,0.73333333333333339,0.0048488256573175903,True,0.73333333333333339,300,platt,27,1,0.0037466552340314103,0,27
20210125,0,1,3624.2381,0.80000000000000004,-0.015122930251188493,False,0.80000000000000004,300,platt,28,1,0.0054425102068140661,0,28
20210126,-0,0,3569.4290000000001,0.73333333333333339,0.0010960296450777118,False,0.73333333333333339,300,platt,29,1,-0.005554712678098192,0,29
20210127,0,1,3573.3411999999998,0.73333333333333339,-0.019076068078805242,False,0.73333333333333339,300,platt,30,1,0.0038547785608936355,0,30
20210128,-0,0,3505.1759000000002,0.6166666666666667,-0.0063068732156923435,True,0.6166666666666667,300,platt,31,1,-0.0064443277330058614,0,31
20210129,-0,0,3483.0691999999999,0.60833333333333328,0.0063778233289193409,False,0.60833333333333328,300,platt,32,1,-0.010546505412580972,0,32
20210201,-0,0,3505.2836000000002,0.60833333333333328,0.0081024257209887374,False,0.60833333333333328,300,platt,33,1,-0.0044300032694859718,0,33
20210202,0,1,3533.6849000000002,0.60833333333333328,-0.0046345105643120776,False,0.60833333333333328,300,platt,34,1,0.0048318627300498688,0,34
